Feature,MissingPercent
Bilirubin_direct,99.80737142525818
Fibrinogen,99.34016660116866
TroponinI,99.04774482834152
Bilirubin_total,98.5091579103343
Alkalinephos,98.39319421985428
AST,98.37760354591197
Lactate,97.32987160242493
PTT,97.05587517152962
SaO2,96.54937154122187
EtCO2,96.2868426308296
Phosphate,95.98630339966886
HCO3,95.81061840859162
Chloride,95.46027921479696
BaseExcess,94.57901959142127
PaCO2,94.44012085993518
Calcium,94.116066769316
Platelets,94.05950225807075
Creatinine,93.90443303418996
Magnesium,93.68957808543948
WBC,93.59319937379608
BUN,93.13443412940259
pH,93.06968773555124
Hgb,92.61755819122412
FiO2,91.66575398947307
Hct,91.1459789590326
Potassium,90.6890820185413
Glucose,82.89432486583645
Temp,66.16269705774349
Unit2,39.42507779230903
Unit1,39.42507779230903
DBP,31.34588747656567
Resp,15.354558983642677
SBP,14.576958014701619
O2Sat,13.061119307310223
MAP,12.451279143930268
HR,9.882618975525219
HospAdmTime,0.0005153941799112234
Unnamed: 0,0.0
Hour,0.0
Gender,0.0
Age,0.0
ICULOS,0.0
SepsisLabel,0.0
Patient_ID,0.0
